folder_name,dataset,model,optimizer,seed,learning_rate_grid,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,final_train_loss,final_val_loss,final_val_metric
adults_LightGBM_QNG_42_1750185597,adults,LightGBM,QNG,42,"0.1, 0.01, 0.001",0.8774695465247211,0.8212683991748277,0.8454560170663614,0.803520331158434,0.8735196666908932,0.8732651430311279,0.8774695465247211,-0.8826860323757119,-0.8769033909149072,0.8769033909149072
adults_LightGBM_QNG_42_1750185600,adults,LightGBM,QNG,42,"0.1, 0.01, 0.001",0.8548469648889344,0.7549679841180734,0.8679359381943732,0.7168297639682283,0.8365270107440146,0.8589043515469541,0.8548469648889344,-0.853573485187792,-0.854254638515675,0.854254638515675
adults_LightGBM_SGD_1337_1750185604,adults,LightGBM,SGD,1337,"0.1, 0.01, 0.001",0.8731702323676938,0.8136183008430884,0.8408700850531232,0.7943917229270624,0.8685436878866986,0.8685132795201216,0.8731702323676938,-0.8867809840680786,-0.8795905310300703,0.8795905310300703
adults_LightGBM_SGD_1337_1750185607,adults,LightGBM,SGD,1337,"0.1, 0.01, 0.001",0.8542327771522162,0.7571310410944287,0.8585821437167359,0.7203835019850143,0.837192420686838,0.8555314173824707,0.8542327771522162,-0.8564207562863907,-0.8578374920025592,0.8578374920025592
adults_LightGBM_SGD_1337_1750185611,adults,LightGBM,SGD,1337,"0.1, 0.01, 0.001",0.7606715119254785,0.4320348837209302,0.3803357559627393,0.5,0.6572732564090966,0.5786211490549934,0.7606715119254785,-0.7607332522874144,-0.7607165706973769,0.7607165706973769
adults_LightGBM_SGD_2025_1750185637,adults,LightGBM,SGD,2025,"0.1, 0.01, 0.001",0.8710205752891801,0.8131396230457215,0.833579903698233,0.7976690370340696,0.8673584366885272,0.8665647403030926,0.8710205752891801,-0.8817902616930066,-0.874088291746641,0.874088291746641
adults_LightGBM_SGD_2025_1750185640,adults,LightGBM,SGD,2025,"0.1, 0.01, 0.001",0.8506500153546934,0.7474929102373825,0.8590993531454425,0.710553315193248,0.8316343478354711,0.8532802216554782,0.8506500153546934,-0.8520378783031544,-0.8555342290467051,0.8555342290467051
adults_LightGBM_SGD_2025_1750185644,adults,LightGBM,SGD,2025,"0.1, 0.01, 0.001",0.7606715119254785,0.4320348837209302,0.3803357559627393,0.5,0.6572732564090966,0.5786211490549934,0.7606715119254785,-0.7607332522874144,-0.7607165706973769,0.7607165706973769
adults_LightGBM_SGD_42_1750185573,adults,LightGBM,SGD,42,"0.1, 0.01, 0.001",0.8548469648889344,0.7549679841180734,0.8679359381943732,0.7168297639682283,0.8365270107440146,0.8589043515469541,0.8548469648889344,-0.853573485187792,-0.854254638515675,0.854254638515675
adults_LightGBM_SGD_42_1750185577,adults,LightGBM,SGD,42,"0.1, 0.01, 0.001",0.7606715119254785,0.4320348837209302,0.3803357559627393,0.5,0.6572732564090966,0.5786211490549934,0.7606715119254785,-0.7607332522874144,-0.7607165706973769,0.7607165706973769
